Caption,Likes,Views,Comments,Shares,Post Type,Creator
"â€œMama I made it to Forbes!â€ â™¥ï¸ğŸ¥¹

Made my mom proud today. Nothing else matters. 

True, raw emotions caught on camera thanks to my profession of vlogging. 

I do have some learnings to share :
- Manifestation & visualisation is cool. But donâ€™t let it take over your mind. 

- I manifested this. But every year that it didnâ€™t happen, made me want to go even harder in the paint! More ferocity. More work. More sacrifices.

- After this clip got recorded, I broke down. Out of happiness and gratitude. But also out of pity for the younger version of me.

- I never celebrated small wins in the chase for one of these type of goals. Today all that will change. 

- If youâ€™re young and ambitious, know that you can never condtrol thde results. You can only control your honesty & integrity in your profession.

- Just do your work to the best of your abilities. And donâ€™t be harsh on yourself if you donâ€™t get to where you wish to be. Try harder the next time but also enjoy each day of your career.

- From today onwards, believe it or not, things have changed. I feel relieved. I feel grateful. I feel free. Only 1 goal left. Without a timeline on it - Build a unicorn.

- The unicorn will be built. But Iâ€™m sure as heck going to ENJOY the process. Without a sense of, LETS GET THERE RIGHT NOW. 

- As long as I give it my all, I know God has my back. 

Karmanyava Dhikaraste Maa Phaleshu Kadachana - Only be attached to your sense of hard work. Not to the results that the hard work will bring.

If your parents are proud of you, thatâ€™s the biggest achievement.",370938,1895774,3640,1895774,Reel,beerbiceps
"Arjuna : 

1. When you're focusing on the goal, may your eyes trail nowhere else. 

2. Despite immense success & ability, kneel in front of God. 

3. Understand that your success or failure contains many factors that are beyond your control. Be humble and give every day your best.

4. When choosing between ""infinite power of any kind"" & God, choose God. 

5. Lead from the front, lead by example. 

6. Challenge yourself to be incrementally better every day.

7. Be ready to die for your family.

8. Be abled enough to protect them at all costs.

9. Chase excellence so hard, that your effort becomes your greatest legacy.

10. Be the reason that your side wins any war, even when the odds are stacked against you. Believe in yourself.

Karmanyava Dhikaraste Ma Phaleshu Kadachana : Your results are never in your hand, only your efforts are.

Edit : @akshattiiwari 

#nationalcreatorsaward #arjuna #mahabharat #beerbiceps #motivation",2305430,13891302,11748,13891302,Reel,beerbiceps
"When we began @theranveershowpodcast, the intention was to celebrate the heroes of our great country.

In my opinion, no other entity in India should be celebrated as much as @isro.dos.

They're Indian heroes. Making our country proud on a WORLD STAGE!

Lots has been spoken about in this conversation: Aliens, Space tourism, asteroid mining, Indian astronauts... the list is LONG. 

Even some special messages for Elon Musk & Mukesh Ambani!

This is a must watch #theranveershow episode with @isro_chairman. Huge day, hugest podcast ğŸš€ğŸš€ğŸš€

Edit : @akshattiiwari 

#NationalSpaceDay #isro #podcast",1148417,6923197,1877,6923197,Reel,beerbiceps
"This oneâ€™s for my 17-year-old self.

To the kid who had dreams so big, no one thought they were possible.

Dreams so big, they kept him up all night, buzzing with excitement.

Dreams so big, people laughed.

Dreams so big, only my parents truly believed in me.

But hereâ€™s the thing about dreams.

If your dreams donâ€™t scare you, then youâ€™re not dreaming big enough.

As someone whoâ€™s been a huge fan of Ranveer since 2017, this will always be a core memory for me.

Thank you @beerbiceps for the incredible conversation. It was amazing discussing mindset, spirituality and health with you.

Next time we meet, itâ€™ll be on my turf.

A hardcore Ranveer x Saket training session. 

Deal?",456269,,2212,,Carousel,beerbiceps
"Learnt how to work hard from this man & his team, @manchesterunited.

Thank you for everything @rioferdy5. The next one will be in India ğŸ™ğŸ»â™¥ï¸",968412,6189002,2581,6189002,Reel,beerbiceps
"Been a life long Man Utd fan. This is one of the most beautiful days of my career...

Man Utd legend @rioferdy5 appears on @theranveershowpodcast.

So much love for him as a player. 
Even more love for him as a human being now that I got to know him.

India loves Rio Ferdinand. Catch the episode on our YouTube channel, now!

#football #manutd #englishpremierleague

Outfit : @govindamehtaa @thehouseofgovinda",100272,,390,,Carousel,beerbiceps
"just a chill guy wishing you a chill 2025. 

smile more this year â¤ï¸â€ğŸ©¹",173297,,290,,Carousel,beerbiceps
"Dear soul reading this, 
According to numerology, 2024 has been a year governed by Saturn. 

Saturn tests two aspects of your existence : 
1. Your ability to work hard through storms.
2. Your ability to stay humble through glory.

Saturn is a task master. Saturn is an examiner.

It's not been an easy year for me either. I have put my head down and worked through it all.

Some times, while my head was down and working... my eyes teared up with the pressure of being an adult. 

Some times while my head was down and working... God gave me moments to smile & breathe.

It's been a year that's tested me to my last degree of resistance.

It's a year that's taught me : Faith and belief can overcome the false storms of what we call ""suffering""

My knee injury was a gift as much as my national award was.

My poor mental health was a gift as much as public adulation was.

Life's purpose is to grow. Often through the dungeons of suffering as much as through the dungeons of success.

Get even healthier this year.
Meditate deeply this year.
Pursue peace this year.

But whatever you do, believe that God is with you through every step.

Happy 2025, have a blessed one!

2025 - Year of ""Mars""

Pour your intensity into the speed and strength of your work.
Now overcome your own demons.
Now grow more easily. 

#spirituality #theranveershow #God",251436,1226204,1317,1226204,Reel,beerbiceps
"Merry Christmas to you all, from Goa. It's been the most eventful Christmas of my life. 

Gonna be very vulnerable in this write up.

We're perfectly fine & well now. But yesterday at 6:00 pm or so, my girlfriend and I had to be rescued from a bit of a situation.

We both love swimming in the open ocean. I've been doing this since I was a kid. 

But yesterday we got swept away by an underwater current. 
This has happened to me before but I've never been alongside a companion.

It's easy to swim out of one alone. It's very hard to pull someone out with you.

After a 5-10 minute struggle, we called for help and were promptly rescued by a family of 5 swimming nearby.

We're both good swimmers but the fury of nature is such that it WILL test your limits at some point.

A casual, fun dip in the waves was interrupted by an underwater current that toppled both of us. The next thing we knew was that we were both struggling to stay afloat.

There was a point during the ordeal where I swallowed a lot of water and started fading away a little bit. That's when I decided to shout for help.

Deep gratitude to the family of the IPS officer husband and IRS officer wife who saved us both.

This experience left us feeling both blank as well as grateful. We felt the protection of God throughout the incident.

As we moved into today's Christmas, we're simply full of gratitude for being alive.

Almost feel like this one life experience has changed my perspective towards living.

Writing this because I've always shared these moments with you all. Full of emotion and gratitude today. A deep thank you and big hugs to each one of you reading this!

Last evening, I decided to call my brother @brother.salvador to convey the Christmas Eve incident. He performed a prayer for us where we thanked Lord Jesus Christ as well as the God above us. 

This has been a very very memorable Goa holiday for me. From discovering secret Murtis at @aliladiwagoa to touching the life-death barrier.

I guess 2025 is going to be more blessed than ever.

We lived for a reason!

Merry Christmas to you all and to your families. Thank you God, for life! ğŸ™ğŸ»ğŸ™ğŸ»ğŸ™ğŸ»ğŸ™ğŸ»â™¥ï¸",416102,,2218,,Carousel,beerbiceps
"Dubai dump...

2024 has been painted by challenges & tests from God.

Weirdly it's also been the best career year yet.

This trip marks the end of a very difficult, but rewarding chapter.

At the start of this year, I'd aimed to travel abroad twice for the sake of @theranveershowpodcast.

This was our 3rd podcasting trip of the year. 2024 has been better than we aimed for.

There's only a few days in the whole year when I allow myself to ACTUALLY, TRULY, FULLY feel proud of myself.

Today is that day.

On most other days, even on the fanciest, most flashy days... there's a part of me looking down on my own achievements.

Nothing seems to be enough. Nothing gives me true happiness. No awards, no career highlights, NOTHING.

I am wired to not celebrate. Because I know how much failing has hurt past versions of me.

The less you celebrate success, the less that failure stings when it inevitably happens.

I don't think that this is a healthy mentality for the long term.
But right now, this mindset helps tremendously.

Every year I compete with only one person. 
Me from the previous year.

Fortunately, I've won for 9 years straight. 

Perhaps this year we win the battle of ""work-life-balance"" as well.

Life shouldn't be all about work. 
Intense years should be embraced.
Breezy years should be embraced.

Now we enter our 10th year.

I'm prepared to win & not celebrate again throughout 2025.

But today, we celebrate fully.

Today is a good day because my 2024 shoot schedule comes to an end.

2024 year end :

The goals that once seemed like dreams, have now become possible.

Thank you to my beautiful team @teambeerbiceps.

Thank you to my ğŸŒ»

And thank you to God.

Singapore, UK & Dubai done. A lot, lot, LOT more to come. 

2025 is about truly going global ğŸš€ğŸ‡®ğŸ‡³

And perhaps taking more care of my heart as well. 

Aum Namah Shivaay ğŸ”±ğŸ™ğŸ»

---
 
Set design partners : @alhuzaifauae @alhuzaifadesignstudio 
Shoot team : @neetbherwani, @mouniralserawan & team.
Director : @akshattiiwari 

Watch out for more from @theranveershowpodcast.",348662,,688,,Carousel,beerbiceps
"It's been an iconic weekend. Can't believe God's grace at this point! 

2024 was the test.

2025 is going to be special.

Varun, AP, Kriti, Yuval. Love you guys! Can't wait to release these. All shot in 3 days! 

@teambeerbiceps power for @theranveershowpodcast 

Aum Bhairavaya Namaha ğŸ”±ğŸ¹â™¥ï¸

#TheRanveerShow",701763,,614,,Carousel,beerbiceps
"10 year journey explained in a 1 minute reel.

Only lesson : Occasionally, say no to some desires ğŸ¹

#Ranveer",327596,1833474,1341,1833474,Reel,beerbiceps
"#1 on Spotify because of the @beerbiceps community ğŸ‘‘

Thank you for all the love & support. 

Onto bigger championship belts ğŸ¹

Here's to you all. Big love & big hugs ğŸ¤—â™¥ï¸

Thanks for the support shown to the entire INDIAN PODCASTING SPACE, @spotifyindia!",51787,445750,445,445750,Reel,beerbiceps
November photo dump of what could very well be the greatest November of my life.,325698,,611,,Carousel,beerbiceps
"Ending the iconic #TRSUKTour with one of my childhood's icons : @rioferdy5 âš½ï¸ğŸ‡¬ğŸ‡§

11 podcasts shot in 11 days. TRS has gone global ğŸŒ

Can't wait to release these episodes, but here's a summary of everything that's coming your way :

1. Rio : Inside the mind of a football legend. What it takes to be WORLD CLASS.

2. Momin (@mominsaqib) : India-Pakistan love podcast.

3. Dr.Alan Badeley : Psychology.

4. Trevor Rooney : Ghost special from York.

5. Arun (@mrwhosetheboss) : Brotherly, relaxed catch up. (+youtubing)

6. Dr.Jo Clarke : Crime Psychology.

7. Imran Hussein (@imranhussein87) : Jinn & Lessons From The Quran.

8. Peter Grey : Occult & Ancient English Spirituality (2 earth shattering episodes)

9. Aarthi & Sriram (@aarthir & @sriramk) : Deep career guidance for Indians looking to set up bases abroad.

10. Ilkay. Gundogan. (@ilkayguendogan) : Our series opener. Watch it yourself to know :)

Thank you to YOU ALL for your support. Took the YouTube channel from my bedroom till Britain through your love & support. Onto even bigger goals!

@theranveershowpodcast is only just getting started.

#TheRanveerShow",175372,,735,,Carousel,beerbiceps
"Big announcement for #TheRanveerShow ğŸ¹

---

Big ups to my team @teambeerbiceps for getting us here.

Shoutout to @anikjaindesign & team (@dzinr.in) for the great work on the logo.

Onto even bigger things.",103559,,1108,,Carousel,beerbiceps
Sending you warmth from freezing London ğŸ§Š,244436,,415,,Carousel,beerbiceps
"York photo dump.

The Ranveer Show's UK Tour has brought us to this stunning city.

And now...

Horror returns on TRS.

Very few travel experiences have sunk in as deeply as this one.

We got here to shoot a couple of podcasts. 
But also discovered that this is one of England's oldest cities. 

It also happens to be one of the most haunted. 

And therefore, we decided to seek out some occultists here.

I live for ghost walks and horror themed experiences when I travel. Shot some edgy podcasts here. Can't wait to put them out! 

It's not easy to travel more than 7500 km away from home and shoot high quality podcasts. My brothers @akshattiiwari & @aayushtiiwari are with me on this legendary tour. We're making magic happen in this corner of the world.

For @theranveershowpodcast, we've already shot 9 epic episodes in the UK. A few more to go before we return to the motherland.

But TRS has GONE GLOBAL. And we will only continue to create content for a world audience!

Keep supporting us. We're on a mission to become India's voice to the world.

Now off to London for our last few shoots.

Can't wait to return to the historical, artistic, gothic, thrilling, ENCHANTING land of Yorkshire ğŸ‘»

#TRSUKTour ğŸ¹

India to the world, baby.",268544,,343,,Carousel,beerbiceps
"Thank you to the @beerbiceps & @ranveerallahbadia community. Love you all! â™¥ï¸

And love you @manchesterunited",164324,992213,1349,992213,Reel,beerbiceps
"Celebrated 10 mil subs by giving thanks at the temple of my childhood!

First Old Trafford visit ever. 
One & only love : @manchesterunited

Saved it for the day after the big milestone was crossed. 

Life is good â™¥ï¸",243600,,615,,Carousel,beerbiceps
10 MILLION SUBSCRIBER CELEBRATION ğŸ¹,158152,990295,2025,990295,Reel,beerbiceps
"Champions League winner, Former German National Team captain, EPL Legend & Man City field general @ilkayguendogan on @theranveershowpodcast.

#TRSUKTour #TRSGoesGlobal #TheRanveerShow.

ğŸ‡¬ğŸ‡§ğŸ‡¬ğŸ‡§ğŸ‡¬ğŸ‡§

Namaste from Manchester. ğŸ‡©ğŸ‡ªğŸ™ğŸ»ğŸ‡®ğŸ‡³

Coming up soon...",242808,,3313,,Photo,beerbiceps
Manchester.,349847,,636,,Carousel,beerbiceps
"Don't fall for the cute smile you guys, I'm born to rewrite history.

Emperor energy only ğŸ‘‘

Can't stop, won't stop baby! â­ï¸

---

Outfit : @thehouseofgovinda by @govindamehtaa 
Photo : @street_wala @jv_foto_factory",183442,,280,,Carousel,beerbiceps
"November dump. 
It's been a lightning fast pace of lifeâš¡ï¸âš¡ï¸âš¡ï¸

Physical health not in the best place.
Mental health kinda still intact thanks to my loved ones.

Becoming more of a hippie as every month passes by.
Sprinting away from societal norms, every chance I get!

Still chasing greatness.
Still trying to keep the inner child alive.

But the world is a harami.
Good thing that I'm its biggest one ğŸ‘¹

Psychosis kicking in.
So is my inner stillness.

Is it the time to leave for the mountains? 
Or is it time to start building more of them?

9 years in. 
9 years to go.

Half time on this career has got me winded, jaded, judged & much more.

But you can't rewrite history books without some struggle.

Struggle for breakfast. 
Consistency for lunch. 
Butter paneer for dinner always.

Watch out for the @indiasgotlatent episode with @maisamayhoon bhai. Legendary episode.",676490,,682,,Carousel,beerbiceps
"podcast done. 

Watch out for this release.

And seperately, watch out for Dec 19th. 
@mrbeast taking content to the next level.

What a soul. Can't wait for you all to see his REAL heart that came through on the episode.

Special thanks to my brothers @carryminati & @deepakchar7.

Ready for the Indian internet to break?

@theranveershowpodcast ğŸ¹",1377284,,1613,,Carousel,beerbiceps
"Another viral podcast? Oh yes.

Shoutout to the ace @teambeerbiceps for shooting this, editing clips and taking over all your algorithms in a matter of 24 hours.

I keep saying it. We're only just getting started ğŸ¹

Had a ball speaking with @itsrohitshetty & @ajaydevgn on @theranveershowpodcast. 2 of the most iconic media stalwarts of our times. Way too much to learn from them. Congrats to both bhaiyyas on the success of Singham Again.

This episode was a vibe tho...

Go watch ğŸ”¥ğŸ”¥ğŸ”¥

Location : @sunnsandhotel",819560,,599,,Carousel,beerbiceps
"Happy Diwali! Celebrating this year by announcing a new phase.

This is the first photo shot in our new podcast studio. 
We are entering a ""new season"".
I count this as ""season 2"" of @theranveershowpodcast.

Killing off the old TRS. 
Killing off limitations of the past.

Aiming for a new global identity.
Aiming for futuristic content creation.

India to the world, TRS has gone international.

Thank you so much for all your support, everyone. We're only at half time ğŸ˜‰

Hope this Diwali brings you as much prosperity as you have brought to us this year! 

@teambeerbiceps is deeply grateful!

New logo to be announced soon ğŸ‡®ğŸ‡³ğŸ¹â™¥ï¸

---

Styling : @rishhabhjain
Outfit : @white__maisondecouture 
Photo : @through_the_glass_eye",229615,,601,,Carousel,beerbiceps
"THIS VIDEO HAS BROKEN THE INDIAN INTERNET.

@carryminati & @deepakchar7 power ğŸ’¥

---

#carryminati #youtubeindia #beerbiceps",2392078,13227363,6506,13227363,Reel,beerbiceps
"I've worked my socks off for what I have today.

It's not like we started the podcast and all of sudden we were national news.

Let's rewind a bit :
- Began working as a fitness trainer (went to people's houses to earn money).
- Ran a couple of YouTube channels for 4-5 years before we began the podcast.
- Cofounded a talent management firm called @monkentertainment out of a garage.
- Scaled my content career and business career simultaneously for years.
- Published content every second day for 10 years now. 
- Shot and released close to 900 podcasts.
- Cofounded a profitable tech business called @levelsupermind.
- Going global in YEAR 10 of my journey.

I've lost friends, romances, money, mental health & simplicity trying to get here.

Is this journey meant for everyone? Hell no. I've lived a deeply unbalanced life and I wouldn't wish this reality upon anyone.

I think life should be much more about love, family & spiritual growth than it should be about material progress.

But at this point, I know a story is being written for the history textbooks. I know that what my team @teambeerbiceps is building at this point, will be a case study for future generations.

I can't stop. At least not for a while.

Not everyone is born to be entrepreneurial. This reel is for the misfits, the dreamers & the ones that society calls ""crazy"".

At countless junctures, I've been discouraged, cancelled, hated upon & judged. 

My perpetual lesson has been : Keep carrying on. Think, execute, learn, ask & grow.

If life is hard and the goals are big, you're doing great my friend. Carry on. The suffering of today becomes the strength of tomorrow.

#career #motivation #beerbiceps",851063,8965929,2791,8965929,Reel,beerbiceps
"The final @naval post.

This podcast was shot in Singapore thanks to my dear friend @balajis.

We kick off our international expansion with this episode.

I could have shut down my English language YT channel long ago. But it was always a dream to shoot podcasts for a global audience.

 In the coming few weeks, we will be uploading more episodes shot with 'foreign' minds. 

Stay tuned because Indian podcasting is only getting started.

Keep following @theranveershowpodcast âš¡ï¸",52439,582019,397,582019,Reel,beerbiceps
"Ready for this fam?

Naval Ravikant, the global internet's modern day Yoda like never before.

Only on @theranveershowpodcast.

#Naval #NavalRavikant",73372,599829,465,599829,Reel,beerbiceps
"TRS goes international tomorrow. 
Couldn't have dreamt of a better first guest than @naval. 

India to the world baby ğŸ‡®ğŸ‡³ğŸ’¥â™¥ï¸

#NavalRavikant #BeerBiceps

@theranveershowpodcast : 9 years of work are paying off at 9pm tomorrow.",144752,,1430,,Carousel,beerbiceps
"stories are what makes our lives magicalâœ¨

#TheRingsOfPowerOnPrime, finale episode out on 3rd Oct",30329,430635,110,430635,Reel,beerbiceps
"A deeply proactive Singapore trip before the hacking fiasco ğŸ˜›ğŸ‡¸ğŸ‡¬

Shot 5 episodes on foreign soil for the first time. TRS is now officially INTERNATIONAL. The goal is to take Indian content to the world ğŸ‡®ğŸ‡³â™¥ï¸

One of my guests from these 5 episodes is revealed in this photo dump. And it's not @akshattiiwari ğŸ˜›

The first, blockbuster episode from this trip releases this Friday. Going to break the podcast world globally ğŸ’¥ğŸ‡®ğŸ‡³ğŸ’ªğŸ¼",537227,,812,,Carousel,beerbiceps
"We're back ğŸš€ 

#memes #reels #trs #BeerBiceps",346592,3017196,3897,3017196,Reel,beerbiceps
"@theranveershowpodcast is back. 
@ranveerallahbadia is back.

â™¥ï¸ you God.

â™¥ï¸ you all.

Thank you @youtubeindia & @aasthamalhotra1 â™¥ï¸ğŸ™ğŸ»",241897,1695359,4022,1695359,Reel,beerbiceps
"Checking in from Singapore to share with you guys that I had one of the biggest days of my career âš¡ï¸

TRS finally went international today. 
The internet isn't ready for our next guest...

Grateful to God so I point to the sky. ğŸ”±ğŸ™ğŸ»
Grateful to my sunflower so I point my bat at her after scoring this century. ğŸŒ»ğŸ

More announcements soon. Special thanks to my brother @balajis for making this happen. Any guesses who the guest is? ğŸ’ªğŸ¼ğŸ˜‰

2024 - The year of evolution. Death like lows & heaven like highs. 

Thank you life â™¥ï¸",354540,,1708,,Carousel,beerbiceps
"Another photo dump from the hills. 

Multiple moments from this trip left me feeling liquidised.

Somewhere between the plane of humans & angels & light.

I think this is going to be the place I choose to settle in and raise my family. 

Of course it would be great to continue my career from up here. 

But truth be told, the mountains have a way of leaving you feeling deeply contented.

I've worked really really really hard in the 10 years leading up to 2025.

I've accomplished everything I set out to accomplish. I finally feel (mostly) satiated.

At this point I'm only accepting the city life for the sake of the people who chose to work with me.

We have to see our mission through and I jolly well know that we will. Everyone who has put in the years will build generational wealth for their families.

But as for me, I just want to get lost in these other worldly colours. 

One day a lemony gold sunset to kiss me goodbye.

The other day, a saturated rainbow to make me feel like a 4 year old again. 

Then a moment of deep rest (perhaps ego death), by the side of a sapphire blue stream. 

And finally, a reminder from a mountain Goddess (this time Chamunda Maa)... telling me, ""Son, give this girl with you the best that you have to offer...""

We return to the city life albeit for 12 hours. 
Tomorrow, we go to Singapore. 

Age 31 leaves another 9 years of war ahead of me. 

Kangra, Dharmsala & McLeod Ganj will have to wait for a bit. But I will be back soon to my dearest Himalayas ğŸ”ï¸ğŸ”ï¸ğŸ”ï¸

Aum Namah Shivaay ğŸ”±

#himachal #mountains #travel",624849,,1146,,Carousel,beerbiceps
"Don't let society's matrix fool you into thinking that money matters more than love.

Money is fantastic. And can genuinely enhance the life of your loved ones. 

But that's why I believe in working very hard during the earlier phases of one's life.

Life can't be about making money forever. 

Use the power of compounding cash and compounding repute to build more ""TIME WEALTH""

We don't earn to become rich. We earn to become free.

Focus on building memories. 
Focus on maximising moments.
Focus on the parts of life full of love.

And if you can't afford these luxuries yet, focus on making your dreams a possibility.

When you wish to give up, remember that you're doing it for the smiles on your loved ones' faces.

#Love #romance #relationships

Oxytocin > Dopamine.",154819,1019479,1067,1019479,Reel,beerbiceps
"September photo dump.

It's been a month that's been blessed by Ganpati Bappa ğŸ™ğŸ»â™¥ï¸

I am off to the hills to recaliberate.

Taking a break longer than 2 weeks for the first time since my career began. 

I'm in my 10th year. 
Love my job immensely. 
But a chapter will close soon.

Off indefinitely.

The next chapter : Work-Life-Balance ğŸ”ï¸ğŸ¤

Om Namah Shivaay ğŸ”±",649538,,740,,Carousel,beerbiceps
"If you love your siblings you'll tag them, share this reel with their children and ensure everyone in their bloodline watch this special episode of @theranveershowpodcast featuring @rakulpreet.

#Rakulpreet #TheRanveerShow.",167047,1986047,343,1986047,Reel,beerbiceps
"Drop a â™¥ï¸ if you want more reels like this.

The return of romance on BeerBiceps ğŸ‘¸ğŸ»â£ï¸ğŸ¤´ğŸ»

#Love #Relationships #Romance",343515,1840476,1981,1840476,Reel,beerbiceps
"soft boy era begins.

Who am I kidding brah? When did it ever leave?

I'm all about that soft boy hard boy balance.

Will hold my girl's hand like it's more precious than a bag of emeralds. 

Will hold you by the throat if you trouble a dog.

Boomshakalaka we all about dat duality baby. 

Gimme some prebiotic earth with no fungi. 
That's how hot my head is when it's hot headed. 

Gimme the North Pole of Pluto at night.
That's how cold the ice in my veins is. 

Serial killer mentality with a golden retriever's heart.

CM of Maharashtra today, ISRO chief yesterday, love for my momma every day.

Soft boy era is all about doing the work of God on this holy land we call earth. Spread love spread kindness. We in this for the religion called mankind baby.

Love mankind even more than I love my girl. Is a soft boy allowed to say that shit? I think not. Can't love anything like I love my boo.

You know who you are babe. Only me n you against the big bad world. 

Chris brown song in the background. 
Justin Bieber acoustic covers in my heart for you. 

Swords in my hand simply to look cool.
4 releases a week to build our dreams.

Dropping new podcasts like Steph Curry drops em 3s.

Getting to my goals like my mom named me Ronaldo.

Pointing at you to say luv u, cuz you know I'm yo Kohli ğŸ˜˜

PC : @through_the_glass_eye",202661,,644,,Carousel,beerbiceps
Life is good...,320826,1844407,2152,1844407,Reel,beerbiceps
"August photo dump with a cute story. 

This is Khwaab. 
She came up to me when I was shopping and asked for a photo!

She said, ""Yeh woh podcast uncle hai!""

This was the youngest TRS fan I ever come across!

Truth be told, I've been going through a very difficult year.

I don't get too much time to myself and step out very rarely. When I'm out in public, I've reached a stage where I wish to be as private as possible. 

If I'm out with my mum or girlfriend, I simply wish to hold their bags and be Ranveer. Not beerbiceps...

Of course I'm grateful to anyone who comes up and conveys love. But I've also had many situations where people come up and convey criticism, judgement or generally speaking : dark energy.

I guess when one makes it mainstream, the experience of life gets altered slightly...

No complaints, this is what I signed up for. I can't have a normal experience of life if I'm releasing 4 podcasts a week ğŸ˜‚

Khwaab came up to me without any kind of hesitation.

I felt like her presence melted away my tough day, tough year & tough exterior...

The photo you see is my best moment from that day! And quite easily one of the best moments of the year.

Thank you @khwaab__artwani ğŸ¤ğŸ¤ğŸ¤ğŸ¤

In a torrential ocean that I call life, moments like these stabilise the ship that I call my heart...

The other photos are other happy highlights from this past month : 
- my loved ones. 
- some achievements.
- some epic meetings with epic souls.

2024 : One of the toughest years of my life. But life is still joyous.

This year, the skill I worked on the most : Learning to extract maximum happiness from the little joyous moments of life. Mindfulness combined with gratitude combined with imperviousness.

Onwards & upwards, fam â™¥ï¸",473028,,980,,Carousel,beerbiceps
"This reel is all about self love.

Do you love yourself?

If you truly do...

You'll check out pilgrim products.

Yes, I just said that.

Yes, you love yourself so you'll listen.

Just like jaboi, Pilgrim products are a perfect blend of usefulness, gentleness and effectiveness.

Check out @discover.pilgrim now

So excited to unveil â€œThe Secret Is In The Mixâ€ campaign for Pilgrim, one of the fastest growing vegan and cruelty free beauty brands. They donâ€™t follow fads or the latest ingredients ğŸ‘€ they know the right mix of ingredients delivers results and customer love ğŸ’¯â¤ï¸

Check out their beauty products at discoverpilgrim.com â­ Don't Forget to use my Coupon Code ""Ranveer15"" for additional discount ï¸

#Pilgrim #TheSecretIsInTheMix #Pilgrimhaircare #Pilgrimkeratinandpatuashampoo #Pilgrimhairgrowthserum #RanveerAllababadia",134922,1279027,665,1279027,Reel,beerbiceps
"For me, this is the biggest podcast of the year (until now ğŸ˜‰)

Thank you for everything you've done for our country, @isro.dos & @isro_chairman !

Go watch the latest episode of @theranveershowpodcast , NOW.

Edit : @akshattiiwari 

#NationalSpaceDay #theranveershow #podcast #isro #inspiration",261881,954206,1994,954206,Reel,beerbiceps
"Thoughts I've had about having children :

1. Perhaps having kids is the 4th most important aspect of a human birth. The others being :
- Spiritual growth.
- Taking care of your parents
- Giving back to society, through your work.

2. I'm sure that the birth of your kids makes you more responsible. But maybe it also makes you relive your childhood. And therefore makes you dive deeper into your own psyche.

3. Spiritual growth is definitely accelerated if you protect & raise a child. Living for the sake of another human being is one of the greatest things that one can do in a human birth.

4. One needs to be financially, spiritually and biologically ready to bring life into this world. Be aware of ""responsibility"", before multiple duties become your reality.

5. Having progeny is your chance at the propulsion of your value system into the future. If your kids make the world a better place, you have done your bit for society. 

6. Considering where world population demographics currently stand, many believe that a couple should produce more than 2 children. Personally I want more than 2 kids. But not at the cost of the quality of fatherhood I can provide. Time will tell...

7. As I age, I love my parents more with every passing year. I also realise that I carry generational trauma & tendencies that I've inherited from my bloodline. Fatherhood will be my test. What am I passing on to the next generation? What tendencies or trauma will be held back from reaching them?

All I can do now is work on being the best version of myself.

---

Every stage of adult life throws new challenges your way.

If you put your mind to it, you'll become better annually.

Study about fatherhood.
Study people's mistakes.
Visualise a warm reality.
Prepare for responsibility.

#spirituality #fatherhood",248129,1501984,1407,1501984,Reel,beerbiceps
ğŸ’”,282052,1077029,2642,1077029,Reel,beerbiceps
